PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
TOI-6086 b                    ,       ,  0.105,      1.4,0.000, 90.0,  0.0,  0.0, 752.9, 633.1, 752.9, 633.1,  0.065,  0.083,  0.163,  0.172
TOI-6130 b                    ,  1.050,  1.280,      2.4,0.036, 42.0,  0.0,  0.0,2318.3,1949.4,2236.3,1880.5,  1.250,  1.584,  2.771,  2.923
TOI-615 b                     ,  0.435,  1.693,      4.7,0.390, 90.0,  0.0,  0.0,2534.1,2130.9,1678.7,1411.6,  1.706,  2.161,  3.738,  3.943
TOI-620 b                     ,       ,  0.335,      5.1,0.220,276.0,  0.0,  0.0, 813.4, 684.0, 650.4, 546.9,  0.185,  0.234,  0.451,  0.475
TOI-622 b                     ,  0.303,  0.824,      6.4,0.420, 90.0,  0.0,  0.0,2147.4,1805.8,1372.4,1154.1,  1.247,  1.580,  2.749,  2.900
TOI-6255 b                    ,  0.005,  0.096,      0.2,0.000, 90.0,  0.0,  0.0,1636.6,1376.2,1636.6,1376.2,  0.106,  0.135,  0.262,  0.277
TOI-628 b                     ,  6.330,  1.060,      3.4,0.072,286.0,  0.0,  0.0,1957.3,1645.9,1821.1,1531.3,  1.148,  1.455,  2.538,  2.677
TOI-6383 A b                  ,  1.040,  1.008,      1.8,0.050, 23.8,  0.0,  0.0, 953.8, 802.1, 907.3, 762.9,  0.148,  0.187,  0.365,  0.385
TOI-640 b                     ,  0.570,  1.720,      5.0,0.013, 87.0,  0.0,  0.0,2093.1,1760.1,2066.0,1737.3,  1.875,  2.375,  4.129,  4.355
TOI-654.01                    ,       ,  0.211,      1.5,0.000, 90.0,  0.0,  0.0, 890.3, 748.6, 890.3, 748.6,  0.124,  0.157,  0.307,  0.324
TOI-6628 b                    ,  0.740,  0.980,     18.2,0.670,215.8,  0.0,  0.0,1497.5,1259.3, 665.7, 559.8,  0.691,  0.875,  1.558,  1.643
TOI-663 b                     ,  0.014,  0.203,      2.6,0.000, 90.0,  0.0,  0.0, 879.3, 739.4, 879.3, 739.4,  0.170,  0.215,  0.414,  0.436
TOI-663 c                     ,  0.011,  0.202,      4.7,0.000, 90.0,  0.0,  0.0, 722.4, 607.5, 722.4, 607.5,  0.170,  0.215,  0.414,  0.436
TOI-663 d                     ,  0.016,  0.171,      7.1,0.000, 90.0,  0.0,  0.0, 629.2, 529.1, 629.2, 529.1,  0.170,  0.215,  0.414,  0.436
TOI-6651 b                    ,  0.192,  0.454,      5.1,0.091,116.0,  0.0,  0.0,1865.3,1568.6,1702.7,1431.8,  1.356,  1.718,  3.017,  3.182
TOI-669 b                     ,  0.031,  0.231,      3.9,0.000, 90.0,  0.0,  0.0,1458.4,1226.4,1458.4,1226.4,  0.706,  0.894,  1.585,  1.672
TOI-672 b                     ,       ,  0.469,      3.6,0.000, 90.0,  0.0,  0.0, 820.5, 689.9, 820.5, 689.9,  0.188,  0.239,  0.457,  0.482
TOI-674 b                     ,  0.074,  0.468,      2.0,0.000, 90.0,  0.0,  0.0, 827.1, 695.5, 827.1, 695.5,  0.127,  0.161,  0.313,  0.331
TOI-677 b                     ,  1.234,  1.170,     11.2,0.460, 72.9,  0.0,  0.0,1722.3,1448.3,1047.4, 880.8,  1.105,  1.400,  2.441,  2.574
TOI-700 b                     ,       ,  0.082,     10.0,0.075,210.0,  0.0,  0.0, 514.9, 433.0, 477.6, 401.6,  0.124,  0.157,  0.305,  0.322
TOI-700 c                     ,       ,  0.232,     16.1,0.068, 30.0,  0.0,  0.0, 437.9, 368.2, 409.1, 344.0,  0.124,  0.157,  0.305,  0.322
TOI-700 d                     ,       ,  0.096,     37.4,0.042, 10.0, 89.3,100.0, 325.8, 273.9, 312.4, 262.7,  0.124,  0.157,  0.305,  0.322
TOI-700 e                     ,       ,  0.085,     27.8,0.059, 70.0,  0.0,100.0, 362.9, 305.1, 342.1, 287.6,  0.124,  0.157,  0.305,  0.322
TOI-7041 b                    ,  0.360,  1.020,      9.7,0.040,131.0,  0.0,  0.0,1860.9,1564.8,1787.9,1503.4,  2.188,  2.772,  5.079,  5.357
TOI-712 b                     ,       ,  0.183,      9.5,0.540, 68.0,  0.0,  0.0,1140.7, 959.2, 623.5, 524.3,  0.344,  0.436,  0.802,  0.846
TOI-712 c                     ,       ,  0.241,     51.7,0.089,115.0,  0.0,  0.0, 461.4, 388.0, 422.0, 354.9,  0.344,  0.436,  0.802,  0.846
